country_id,country,ehc90,sur90,fh90,edu90,lea90,ehc16,sur16,fh16,edu16,lea16
1,Afghanistan,1,30,41,2,61,4,34,45,7,64
2,Albania,11,41,63,10,76,14,43,69,11,78
3,Algeria,8,40,61,10,63,14,42,70,12,68
4,American Samoa,13,41,66,12,73,16,41,70,13,76
5,Andorra,21,43,88,12,85,24,44,89,13,86
6,Angola,2,29,39,6,62,7,37,50,10,66
7,Antigua and Barbuda,10,42,74,9,70,14,42,76,11,70
8,Argentina,12,41,76,10,71,16,42,81,12,72
9,Armenia,15,40,71,13,76,17,42,72,13,78
10,Australia,20,43,84,11,88,23,44,87,13,87
11,Austria,20,42,86,11,87,24,44,88,13,87
12,Azerbaijan,11,38,63,11,75,14,41,69,11,76
13,Bahrain,9,41,67,8,69,14,43,77,11,74
14,Bangladesh,2,34,40,5,65,6,41,48,8,69
15,Barbados,15,42,75,12,72,18,42,76,14,74
16,Belarus,18,40,79,12,81,23,42,82,15,84
17,Belgium,22,42,87,12,87,25,44,88,13,88
18,Belize,7,40,69,8,63,11,41,73,10,65
19,Benin,1,32,35,4,55,4,37,48,8,58
20,Bermuda,11,41,77,9,70,12,43,79,9,68
21,Bhutan,4,34,49,7,67,9,41,54,11,70
22,Bolivia,7,35,62,9,64,12,41,68,12,67
23,Bosnia and Herzegovina,14,42,70,11,80,17,43,73,12,81
24,Botswana,6,37,55,9,60,8,37,50,12,65
25,Brazil,9,39,70,9,69,16,41,78,12,73
26,Brunei,18,42,76,12,87,23,43,81,13,92
27,Bulgaria,17,41,75,12,83,20,42,77,13,83
28,Burkina Faso,1,29,27,2,69,3,35,43,5,65
29,Burundi,2,28,40,5,68,4,35,47,6,75
30,Cambodia,3,34,42,6,67,7,40,50,9,71
31,Cameroon,4,34,43,6,78,7,35,50,11,71
32,Canada,23,43,89,13,87,25,44,88,13,89
33,Cape Verde,4,39,58,5,65,9,41,68,9,67
34,Central African Republic,2,28,36,5,62,4,29,37,10,66
35,Chad,1,31,34,2,59,2,34,40,6,59
36,Chile,15,41,82,11,72,19,43,88,11,78
37,China,11,39,61,10,85,20,43,72,13,89
38,Colombia,9,40,71,9,66,14,42,76,11,72
39,Comoros,3,34,46,5,59,7,39,53,10,64
40,Congo (Brazza,5,32,50,10,58,7,36,53,11,62
41,Costa Rica,11,42,75,8,74,16,43,79,11,76
42,Cote divoire,2,32,38,4,64,4,35,45,7,60
43,Croatia,19,41,77,13,84,22,43,79,14,85
44,Cuba,18,42,79,12,85,20,43,79,12,87
45,Cyprus,19,43,85,12,81,24,44,88,13,83
46,Czech Republic,20,42,81,12,89,23,43,83,13,87
47,Denmark,23,42,88,13,85,27,44,89,14,88
48,Djibouti,3,35,53,5,62,6,38,50,9,66
49,Dominica,12,41,71,10,73,15,41,76,12,74
50,Dominican Republic,8,39,71,9,61,11,41,76,10,63
51,DR Congo,3,31,34,8,58,5,36,40,10,64
52,Ecuador,9,39,67,9,66,12,42,72,10,69
53,Egypt,6,38,54,9,65,12,41,64,12,66
54,El Salvador,7,38,65,8,65,12,41,74,11,68
55,Equatorial Guinea,4,28,43,8,64,9,37,57,12,68
56,Eritrea,2,31,38,5,60,7,37,51,10,64
57,Estonia,19,40,76,13,88,24,43,81,14,90
58,Ethiopia,1,27,45,3,58,5,38,49,7,62
59,Fiji,10,38,65,9,76,14,38,72,12,78
60,Finland,25,42,86,14,89,28,44,89,15,91
61,France,22,42,87,13,85,25,43,89,13,87
62,Gabon,7,35,54,9,78,12,38,58,11,83
63,Georgia,15,40,74,13,72,18,42,76,13,75
64,Germany,20,42,88,11,86,23,44,89,12,88
65,Ghana,3,34,43,6,55,7,38,54,11,55
66,Greece,21,43,85,13,82,23,44,88,13,83
67,Greenland,12,37,86,8,83,16,41,86,10,84
68,Grenada,7,41,67,7,68,12,41,76,10,71
69,Guam,17,41,72,13,79,17,41,74,13,80
70,Guatemala,4,36,54,6,65,8,40,64,9,69
71,Guinea,1,30,43,3,68,5,35,46,8,69
72,Guinea Bissau,1,29,39,3,60,4,34,45,8,63
73,Guyana,7,37,60,8,71,10,39,65,10,72
74,Haiti,3,32,51,5,66,7,37,59,9,68
75,Honduras,6,38,64,7,62,10,41,69,9,67
76,Hungary,17,40,81,11,87,22,43,82,13,87
77,Iceland,24,43,87,14,84,27,44,89,14,86
78,India,3,35,36,6,63,7,39,43,10,66
79,Indonesia,6,37,50,9,68,10,41,57,11,70
80,Iran,9,38,60,10,69,15,42,73,12,73
81,Iraq,6,38,55,8,65,9,39,62,10,67
82,Ireland,20,43,86,12,86,24,44,89,13,89
83,Israel,19,43,85,11,85,21,44,87,12,85
84,Italy,19,43,86,11,85,22,44,88,12,86
85,Jamaica,10,41,72,9,72,14,42,77,11,73
86,Japan,21,43,82,11,93,24,44,85,12,94
87,Jordan,12,41,64,11,73,16,42,72,13,71
88,Kazakhstan,13,39,67,11,82,18,41,74,13,84
89,Kenya,5,35,49,8,61,8,38,54,11,66
90,Kiribati,4,35,55,5,72,7,36,61,8,75
91,Kuwait,9,42,70,8,65,17,43,82,13,65
92,Kyrgyzstan,11,38,63,12,68,14,41,69,13,70
93,Laos,3,31,45,6,68,7,39,54,9,71
94,Latvia,18,40,75,13,84,23,42,80,14,87
95,Lebanon,14,39,69,13,69,18,43,72,15,72
96,Lesotho,3,35,47,7,54,4,28,45,10,59
97,Liberia,2,28,34,5,62,5,37,39,9,63
98,Libya,8,41,65,8,68,16,42,68,14,74
99,Lithuania,18,41,75,13,84,21,42,81,13,86
100,Luxembourg,21,42,87,12,85,25,44,89,13,87
101,Macedonia,15,41,78,11,75,18,43,77,13,75
102,Madagascar,3,32,42,5,80,5,36,40,7,81
103,Malawi,2,28,38,6,51,4,34,45,9,54
104,Malaysia,8,41,54,8,78,15,43,66,12,78
105,Maldives,4,36,43,7,68,12,43,58,11,74
106,Mali,1,29,28,1,60,3,35,44,5,62
107,Malta,17,43,85,10,82,21,44,88,12,82
108,Marshall Islands,9,38,60,9,73,12,38,64,11,76
109,Mauritania,3,35,43,5,69,7,40,53,9,71
110,Mauritius,8,41,56,10,66,12,42,64,11,73
111,Mexico,10,40,72,9,70,13,42,77,10,74
112,Micronesia,8,37,58,10,73,12,39,65,11,76
113,Moldova,13,39,70,11,78,18,41,75,13,80
114,Mongolia,9,36,60,10,73,12,39,71,11,74
115,Montenegro,17,42,77,12,80,19,43,77,13,79
116,Morocco,5,38,60,6,58,10,42,66,11,62
117,Mozambique,1,29,41,4,55,4,34,45,8,59
118,Myanmar,3,34,40,6,68,8,40,56,9,72
119,Namibia,4,36,51,8,51,6,37,51,11,57
120,Nepal,2,34,37,5,65,7,40,47,9,69
121,Netherlands,23,43,88,12,89,27,44,90,14,89
122,New Zealand,19,42,84,11,85,22,43,86,13,86
123,Nicaragua,7,39,70,7,66,11,42,73,9,68
124,Niger,1,27,37,2,53,2,35,38,4,52
125,Nigeria,3,31,37,8,64,5,36,45,9,66
126,North Korea,8,41,50,9,78,12,40,57,11,83
127,Northern Mariana Islands,15,42,71,12,73,18,42,73,14,76
128,Norway,21,43,88,12,83,25,44,90,13,86
129,Oman,6,40,54,8,67,14,43,68,12,74
130,Pakistan,3,36,43,5,66,6,39,45,9,68
131,Palestine,10,41,65,10,68,15,42,71,14,69
132,Panama,11,41,74,10,68,15,42,75,12,69
133,Papua New Guinea,2,33,51,4,71,4,36,47,6,73
134,Paraguay,9,41,73,8,64,14,42,78,11,67
135,Peru,9,38,65,10,66,13,43,71,11,70
136,Philippines,7,38,52,10,63,10,40,58,12,64
137,Poland,17,41,74,12,86,23,43,78,14,87
138,Portugal,15,42,83,9,82,20,43,86,11,86
139,Puerto Rico,16,41,77,13,71,18,43,80,13,73
140,Qatar,10,42,73,10,64,15,43,77,11,70
141,Romania,15,40,73,11,80,18,42,73,13,79
142,Russia,15,40,72,11,86,19,40,78,12,90
143,Rwanda,2,29,46,4,61,6,39,56,8,62
144,Saint Lucia,7,41,69,7,70,14,42,79,11,72
145,Saint Vincent and the Grenadines,7,40,69,6,68,11,41,74,9,71
146,Samoa,11,40,71,9,76,15,41,75,11,78
147,Sao Tome and Principe,4,36,51,7,62,7,40,57,9,66
148,Saudi Arabia,7,40,63,8,63,17,43,73,14,68
149,Senegal,2,33,46,3,72,5,38,50,6,70
150,Serbia,17,42,76,12,81,20,43,76,13,82
151,Seychelles,10,40,74,10,67,14,41,74,11,72
152,Sierra Leone,1,29,39,3,61,5,34,46,8,65
153,Singapore,17,43,78,10,94,24,44,82,12,98
154,Slovakia,18,41,76,12,87,21,43,79,13,85
155,Slovenia,18,42,77,12,86,23,44,79,14,86
156,Solomon Islands,4,36,51,5,72,7,37,61,8,75
157,Somalia,1,30,44,3,59,4,34,43,7,63
158,South Africa,6,36,60,10,53,7,35,54,12,58
159,South Korea,20,41,80,12,93,26,43,84,13,96
160,South Sudan,1,30,34,2,58,2,35,40,4,60
161,Spain,18,43,83,10,85,20,44,85,11,86
162,Sri Lanka,7,40,49,9,70,13,42,59,13,75
163,Sudan,3,34,39,6,62,7,39,46,10,67
164,Suriname,8,39,66,8,68,11,40,72,10,70
165,Swaziland,5,37,59,8,54,5,33,50,10,56
166,Sweden,22,43,87,12,87,24,44,89,13,87
167,Switzerland,20,43,86,11,88,25,44,87,13,88
168,Syria,7,40,53,9,64,12,37,62,13,69
169,Taiwan,21,42,76,13,93,26,43,82,14,95
170,Tajikistan,10,37,56,11,76,11,40,59,11,76
171,Tanzania,2,32,40,6,58,6,37,49,9,64
172,Thailand,8,40,57,9,76,16,42,67,13,77
173,The Bahamas,12,40,76,10,72,14,41,77,11,73
174,The Gambia,3,35,44,5,62,5,38,45,9,65
175,Timor Leste,4,33,39,7,69,8,41,47,11,72
176,Togo,3,33,42,5,63,6,36,49,9,64
177,Tonga,11,39,66,10,76,14,40,71,11,77
178,Trinidad and Tobago,10,40,77,8,75,12,41,80,9,76
179,Tunisia,8,40,63,9,64,15,43,75,13,68
180,Turkey,8,39,65,8,73,20,43,75,14,79
181,Turkmenistan,10,37,63,11,75,13,40,72,10,77
182,Uganda,2,28,37,6,55,5,36,49,9,57
183,UK,19,43,85,11,87,22,44,87,12,88
184,Ukraine,17,40,72,13,80,20,41,74,14,82
185,United Arab Emirates,10,41,59,11,72,16,42,68,13,77
186,Uruguay,12,41,77,9,75,15,42,79,11,76
187,USA,22,42,87,13,87,23,43,88,12,89
188,Uzbekistan,11,39,57,11,76,14,40,67,12,78
189,Vanuatu,5,37,55,7,72,8,38,60,9,75
190,Venezuela,10,41,73,9,66,15,41,76,12,71
191,Vietnam,7,39,52,8,77,14,42,67,11,82
192,Virgin Islands,16,41,78,12,74,18,42,80,13,74
193,Yemen,2,34,39,5,53,4,38,36,9,55
194,Zambia,3,30,44,7,51,5,34,46,10,55
195,Zimbabwe,5,35,50,9,54,5,34,49,11,56