,Mean,Std. Dev.,Min,Median,Max
Scale 1: Original values,,,,,
Labor productivity,19.09,16.82,5.89,14.35,75.03
Physical capital,42.39,48.67,11.13,27.27,248.79
Human capital,7.91,0.99,5.27,7.95,10.42
Efficiency (parametric),1.33,0.57,0.73,1.21,3.35
Efficiency (nonparametric),77.13,17.76,40.70,77.55,100.00
Scale 2: Relative log trends,,,,,
Labor productivity,1.00,0.22,0.64,0.96,1.59
Physical capital,1.00,0.21,0.70,0.96,1.61
Human capital,1.00,0.06,0.82,1.01,1.14
Efficiency (parametric),1.00,1.52,-1.33,0.82,5.38
Efficiency (nonparametric),1.00,0.06,0.86,1.01,1.07